점포명,유형,위치,위도,경도
코뚜래정육점,식육판매업,인천광역시 중구 연안부두로33번길 21 (항동7가),37.45481602,126.6049452
용일시장,전통시장,미추홀구 인주대로 184(용현동),37.45531952,126.6572227
주안자유시장,전통시장,미추홀구 경인로 326번길 71,37.45551237,126.6760477
다드림할인마트,준대규모 점포,인천광역시 남동구 백범로124번길 7 (만수동),37.45555424,126.7333739
(주)지에스리테일구월점,준대규모 점포,"인천광역시 남동구 구월로 212, 지하1층 38호 (구월동, 힐캐슬프라자)",37.45599268,126.7140285
현성,식육판매업,"인천광역시 중구 인항로 34, 106호 (신흥동3가,현대상가)",37.45716331,126.6341016
행복한마트,준대규모 점포,"인천광역시 남동구 구월로 65, 지하1층 B101,102,103호 (간석동, 현대홈타운 102동상가)",37.45753839,126.6981018
용현시장,전통시장,미추홀구 용삼길 13(용현동),37.45756117,126.6503744
아인애비뉴,그밖의 대규모점포,인천광역시 미추홀구 경인로 372,37.4580182,126.6811632
태흥프라자,그밖의 대규모점포,인천광역시 미추홀구 경원대로 848,37.45843328,126.6898253
삼화복합빌딩(동아탑월드),그밖의 대규모점포,인천광역시 미추홀구 독배로 443,37.4588572,126.6481956
수협중앙회 급식사업본부,식육판매업,인천광역시 중구 축항대로 50 (항동7가),37.45904608,126.602799
(주)지에스리테일,준대규모 점포,인천광역시 남동구 만수로50번길 53 (만수동),37.45906218,126.7362819
제일시장,전통시장,미추홀구 제일로 37번길,37.45932396,126.6744938
만수시장,전통시장,남동구 만수로27번길 10-11,37.46004651,126.7317843
석바위시장,전통시장,미추홀구 경인로 485번길 17-1,37.46014695,126.6927355
G마트,준대규모 점포,"인천광역시 남동구 백범로 239, 한국통신 1층전부,2층일부호 (만수동)",37.46017677,126.7227946
신성쇼핑센터,쇼핑센터,인천광역시 미추홀구 주안중로 25,37.46057865,126.6822513
